Horizonte,Bloco,Target_QID,Target_Periodo,Modelo,Alpha,N_Treino,Feature,Beta_Padronizado,Importancia_Normalizada,Rank_Importancia
H1,Validação,55,3T19,Ridge + Brent e Câmbio,10.0,308,Segmento=E&P,1000.3905553678024,0.03134710690468607,11
H1,Validação,55,3T19,Ridge + Brent e Câmbio,10.0,308,Segmento=GÁS & ENERGIA / G&EBC,265.2785601243315,0.008312468904388309,24
H1,Validação,55,3T19,Ridge + Brent e Câmbio,10.0,308,Segmento=INTERNACIONAL,218.84292140539506,0.006857414252683099,27
H1,Validação,55,3T19,Ridge + Brent e Câmbio,10.0,308,Segmento=REFINO / RTC,2413.0643935673015,0.07561305642798176,3
H1,Validação,56,4T19,Ridge Contábil,0.1,314,Custo_t,11895.628971687038,0.3155086766030516,1
H1,Validação,56,4T19,Ridge Contábil,0.1,314,Custo_t_1,807.0883647399612,0.021406466397607612,10
H1,Validação,56,4T19,Ridge Contábil,0.1,314,Custo_t_4,3677.928430970843,0.09754997694180588,4
H1,Validação,56,4T19,Ridge Contábil,0.1,314,Receita_t,6578.572935780772,0.1744839928889008,2
H1,Validação,56,4T19,Ridge Contábil,0.1,314,Receita_t_1,-4462.285136557572,0.11835352980592163,3
H1,Validação,56,4T19,Ridge Contábil,0.1,314,Receita_t_4,-2121.072407685488,0.056257365618994117,5
H1,Validação,56,4T19,Ridge Contábil,0.1,314,Despesas_t,-916.2989951389469,0.02430306829652194,9
H1,Validação,56,4T19,Ridge Contábil,0.1,314,Despesas_t_1,-78.09260608166304,0.0020712561610615396,19
H1,Validação,56,4T19,Ridge Contábil,0.1,314,Despesas_t_4,276.0954282965597,0.007322900151419758,16
H1,Validação,56,4T19,Ridge Contábil,0.1,314,EBIT_t,53.60341294126098,0.0014217274192695026,20
H1,Validação,56,4T19,Ridge Contábil,0.1,314,EBIT_t_1,-919.7802669579512,0.02439540233511072,8
H1,Validação,56,4T19,Ridge Contábil,0.1,314,EBIT_t_4,1448.0892314696362,0.038407781388571635,7
H1,Validação,56,4T19,Ridge Contábil,0.1,314,Trimestre_Sin,118.24659904909092,0.0031362635861951686,18
H1,Validação,56,4T19,Ridge Contábil,0.1,314,Trimestre_Cos,-495.4605538314301,0.013141138145820961,13
H1,Validação,56,4T19,Ridge Contábil,0.1,314,Segmento=CORPORATIVO / OUTROS NEGÓCIOS,334.69490608651364,0.00887713858060609,14
H1,Validação,56,4T19,Ridge Contábil,0.1,314,Segmento=DISTRIBUIÇÃO,626.425729654158,0.016614737516082317,11
H1,Validação,56,4T19,Ridge Contábil,0.1,314,Segmento=E&P,520.4878215203646,0.013804938279997993,12
H1,Validação,56,4T19,Ridge Contábil,0.1,314,Segmento=GÁS & ENERGIA / G&EBC,291.06293998122004,0.007719884608055696,15
H1,Validação,56,4T19,Ridge Contábil,0.1,314,Segmento=INTERNACIONAL,197.99206648499862,0.005251358715311888,17
H1,Validação,56,4T19,Ridge Contábil,0.1,314,Segmento=REFINO / RTC,1884.1101129146284,0.04997239655969324,6
H1,Validação,56,4T19,Ridge + Brent e Câmbio,10.0,314,Custo_t,5524.262805667447,0.18106898623881232,1
H1,Validação,56,4T19,Ridge + Brent e Câmbio,10.0,314,Custo_t_1,1808.4693784703895,0.05927627423293897,4
H1,Validação,56,4T19,Ridge + Brent e Câmbio,10.0,314,Custo_t_4,1582.281961353844,0.05186252008003169,5
H1,Validação,56,4T19,Ridge + Brent e Câmbio,10.0,314,Receita_t,5091.665724641494,0.16688973415274602,2
H1,Validação,56,4T19,Ridge + Brent e Câmbio,10.0,314,Receita_t_1,927.9447353929831,0.03041528226189265,9
H1,Validação,56,4T19,Ridge + Brent e Câmbio,10.0,314,Receita_t_4,1461.3352486502042,0.04789824476791264,7
H1,Validação,56,4T19,Ridge + Brent e Câmbio,10.0,314,Despesas_t,-1165.9816548848542,0.03821742803518653,8
H1,Validação,56,4T19,Ridge + Brent e Câmbio,10.0,314,Despesas_t_1,-701.2614290383474,0.022985274327297855,13
H1,Validação,56,4T19,Ridge + Brent e Câmbio,10.0,314,Despesas_t_4,-278.92571199667793,0.009142359385104484,23
H1,Validação,56,4T19,Ridge + Brent e Câmbio,10.0,314,EBIT_t,-750.0522250536826,0.02458449222895488,11
H1,Validação,56,4T19,Ridge + Brent e Câmbio,10.0,314,EBIT_t_1,-1490.3442880675805,0.04884907523051795,6
H1,Validação,56,4T19,Ridge + Brent e Câmbio,10.0,314,EBIT_t_4,334.680522029817,0.010969837056927214,22
H1,Validação,56,4T19,Ridge + Brent e Câmbio,10.0,314,Trimestre_Sin,-76.08043137321495,0.002493691387605003,28
H1,Validação,56,4T19,Ridge + Brent e Câmbio,10.0,314,Trimestre_Cos,-477.3375296754013,0.015645711587687804,20
H1,Validação,56,4T19,Ridge + Brent e Câmbio,10.0,314,Brent_t,617.0201599215219,0.020224094829681318,16
H1,Validação,56,4T19,Ridge + Brent e Câmbio,10.0,314,Brent_t_1,-915.5294018015784,0.030008344368766704,10
H1,Validação,56,4T19,Ridge + Brent e Câmbio,10.0,314,Brent_t_4,-54.42276267848177,0.0017838171016046657,29
H1,Validação,56,4T19,Ridge + Brent e Câmbio,10.0,314,USD_BRL_t,152.27819859694637,0.004991228697145633,27
H1,Validação,56,4T19,Ridge + Brent e Câmbio,10.0,314,USD_BRL_t_1,-736.3501258144349,0.024135377965953334,12
H1,Validação,56,4T19,Ridge + Brent e Câmbio,10.0,314,USD_BRL_t_4,344.92691801406875,0.011305683594055482,21
H1,Validação,56,4T19,Ridge + Brent e Câmbio,10.0,314,Brent_BRL_t,549.0993342269107,0.01799785116864311,19
H1,Validação,56,4T19,Ridge + Brent e Câmbio,10.0,314,Brent_Var_AA,612.1980282704073,0.0200660396247983,17
H1,Validação,56,4T19,Ridge + Brent e Câmbio,10.0,314,USD_BRL_Var_AA,589.4185367804762,0.019319395307499362,18
H1,Validação,56,4T19,Ridge + Brent e Câmbio,10.0,314,Segmento=CORPORATIVO / OUTROS NEGÓCIOS,189.7561687624003,0.006219645646676928,25
H1,Validação,56,4T19,Ridge + Brent e Câmbio,10.0,314,Segmento=DISTRIBUIÇÃO,676.3404183618924,0.022168437348687252,14
H1,Validação,56,4T19,Ridge + Brent e Câmbio,10.0,314,Segmento=E&P,620.6815683487309,0.020344104962334825,15
H1,Validação,56,4T19,Ridge + Brent e Câmbio,10.0,314,Segmento=GÁS & ENERGIA / G&EBC,278.8201530301841,0.009138899474574549,24
H1,Validação,56,4T19,Ridge + Brent e Câmbio,10.0,314,Segmento=INTERNACIONAL,181.4724212002071,0.005948128916552186,26
H1,Validação,56,4T19,Ridge + Brent e Câmbio,10.0,314,Segmento=REFINO / RTC,2320.222895016664,0.07605004001941039,3
H1,Validação,57,1T20,Ridge Contábil,0.1,318,Custo_t,11947.389001474792,0.302273870351581,1
H1,Validação,57,1T20,Ridge Contábil,0.1,318,Custo_t_1,1919.0358275266813,0.048552398089510125,6
H1,Validação,57,1T20,Ridge Contábil,0.1,318,Custo_t_4,3627.140324897644,0.0917681465113225,4
H1,Validação,57,1T20,Ridge Contábil,0.1,318,Receita_t,6628.304551124737,0.1676988394945667,2
H1,Validação,57,1T20,Ridge Contábil,0.1,318,Receita_t_1,-5650.364115672181,0.14295654305129657,3
H1,Validação,57,1T20,Ridge Contábil,0.1,318,Receita_t_4,-2031.8116582897403,0.051405673130831435,5
H1,Validação,57,1T20,Ridge Contábil,0.1,318,Despesas_t,-916.8881742577524,0.023197649049367518,9
H1,Validação,57,1T20,Ridge Contábil,0.1,318,Despesas_t_1,162.1520397719098,0.004102513498238679,18
H1,Validação,57,1T20,Ridge Contábil,0.1,318,Despesas_t_4,278.31508964052045,0.007041486580248001,16
H1,Validação,57,1T20,Ridge Contábil,0.1,318,EBIT_t,38.11518453249542,0.0009643298921948485,20
H1,Validação,57,1T20,Ridge Contábil,0.1,318,EBIT_t_1,-523.7399664886264,0.013250837208764374,11
H1,Validação,57,1T20,Ridge Contábil,0.1,318,EBIT_t_4,1447.5584003443535,0.03662382468487621,8
H1,Validação,57,1T20,Ridge Contábil,0.1,318,Trimestre_Sin,88.0732927519355,0.0022282906391889574,19
H1,Validação,57,1T20,Ridge Contábil,0.1,318,Trimestre_Cos,-494.5404018973888,0.012512076179012614,12
H1,Validação,57,1T20,Ridge Contábil,0.1,318,Segmento=CORPORATIVO / OUTROS NEGÓCIOS,369.6453847021719,0.009352180721472453,14
H1,Validação,57,1T20,Ridge Contábil,0.1,318,Segmento=DISTRIBUIÇÃO,605.5311318773462,0.015320187434120117,10
H1,Validação,57,1T20,Ridge Contábil,0.1,318,Segmento=E&P,478.2374874300597,0.012099605717605351,13
H1,Validação,57,1T20,Ridge Contábil,0.1,318,Segmento=GÁS & ENERGIA / G&EBC,281.3905853295034,0.007119297889902664,15
H1,Validação,57,1T20,Ridge Contábil,0.1,318,Segmento=INTERNACIONAL,189.6393422997733,0.0047979535914336405,17
H1,Validação,57,1T20,Ridge Contábil,0.1,318,Segmento=REFINO / RTC,1847.1752678167916,0.046734296284466535,7
H1,Validação,57,1T20,Ridge + Brent e Câmbio,10.0,318,Custo_t,5652.345080902883,0.1875525205679771,1
H1,Validação,57,1T20,Ridge + Brent e Câmbio,10.0,318,Custo_t_1,2027.0469200830298,0.0672601820535697,4
H1,Validação,57,1T20,Ridge + Brent e Câmbio,10.0,318,Custo_t_4,1553.5851208349204,0.051550073670121876,5
H1,Validação,57,1T20,Ridge + Brent e Câmbio,10.0,318,Receita_t,5075.325231016074,0.16840621479311105,2
H1,Validação,57,1T20,Ridge + Brent e Câmbio,10.0,318,Receita_t_1,674.6893268026929,0.022387112257120676,13
H1,Validação,57,1T20,Ridge + Brent e Câmbio,10.0,318,Receita_t_4,1379.8033796312473,0.04578375842840729,6
H1,Validação,57,1T20,Ridge + Brent e Câmbio,10.0,318,Despesas_t,-1249.7653192854468,0.041468918191560004,7
