Horizonte,Bloco,Target_QID,Target_Periodo,Modelo,Alpha,N_Treino,Y_Mean
H4,Validação,60,4T20,Ridge Contábil,0.1,309,16065.452190938511
H4,Validação,60,4T20,Ridge + Brent e Câmbio,100.0,309,16065.452190938511
H4,Validação,61,1T21,Ridge Contábil,0.1,313,16142.545453674122
H4,Validação,61,1T21,Ridge + Brent e Câmbio,100.0,313,16142.545453674122
H4,Validação,62,2T21,Ridge Contábil,0.1,317,16259.689990536277
H4,Validação,62,2T21,Ridge + Brent e Câmbio,100.0,317,16259.689990536277
H4,Validação,63,3T21,Ridge Contábil,0.1,321,16453.556781931464
H4,Validação,63,3T21,Ridge + Brent e Câmbio,100.0,321,16453.556781931464
H4,Validação,64,4T21,Ridge Contábil,0.1,325,16690.86992923077
H4,Validação,64,4T21,Ridge + Brent e Câmbio,100.0,325,16690.86992923077
H4,Validação,65,1T22,Ridge Contábil,0.1,329,16985.087316109424
H4,Validação,65,1T22,Ridge + Brent e Câmbio,100.0,329,16985.087316109424
H4,Validação,66,2T22,Ridge Contábil,0.1,333,17286.16134234234
H4,Validação,66,2T22,Ridge + Brent e Câmbio,100.0,333,17286.16134234234
H4,Validação,67,3T22,Ridge Contábil,0.1,337,17628.554086053413
H4,Validação,67,3T22,Ridge + Brent e Câmbio,100.0,337,17628.554086053413
H4,Validação,68,4T22,Ridge Contábil,0.1,341,17988.383363636363
H4,Validação,68,4T22,Ridge + Brent e Câmbio,100.0,341,17988.383363636363
H4,Teste,69,1T23,Ridge Contábil,0.1,345,18299.802107246378
H4,Teste,69,1T23,Ridge + Brent e Câmbio,100.0,345,18299.802107246378
H4,Teste,70,2T23,Ridge Contábil,0.1,349,18533.514977077364
H4,Teste,70,2T23,Ridge + Brent e Câmbio,100.0,349,18533.514977077364
H4,Teste,71,3T23,Ridge Contábil,0.1,353,18704.429821529746
H4,Teste,71,3T23,Ridge + Brent e Câmbio,100.0,353,18704.429821529746
H4,Teste,72,4T23,Ridge Contábil,0.1,357,18902.601476190477
H4,Teste,72,4T23,Ridge + Brent e Câmbio,100.0,357,18902.601476190477
H4,Teste,73,1T24,Ridge Contábil,0.1,361,19135.38428531856
H4,Teste,73,1T24,Ridge + Brent e Câmbio,100.0,361,19135.38428531856
H4,Teste,74,2T24,Ridge Contábil,0.1,365,19303.57459452055
H4,Teste,74,2T24,Ridge + Brent e Câmbio,100.0,365,19303.57459452055
H4,Teste,75,3T24,Ridge Contábil,0.1,369,19489.37053387534
H4,Teste,75,3T24,Ridge + Brent e Câmbio,100.0,369,19489.37053387534
H4,Teste,76,4T24,Ridge Contábil,0.1,373,19695.610528150133
H4,Teste,76,4T24,Ridge + Brent e Câmbio,100.0,373,19695.610528150133
H4,Teste,77,1T25,Ridge Contábil,0.1,377,19877.206172413793
H4,Teste,77,1T25,Ridge + Brent e Câmbio,100.0,377,19877.206172413793
H4,Teste,78,2T25,Ridge Contábil,0.1,381,20079.130517060366
H4,Teste,78,2T25,Ridge + Brent e Câmbio,100.0,381,20079.130517060366
H4,Teste,79,3T25,Ridge Contábil,0.1,385,20259.00708311688
H4,Teste,79,3T25,Ridge + Brent e Câmbio,100.0,385,20259.00708311688
H4,Teste,80,4T25,Ridge Contábil,0.1,389,20457.958167095116
H4,Teste,80,4T25,Ridge + Brent e Câmbio,100.0,389,20457.958167095116
H4,Teste,81,1T26,Ridge Contábil,0.1,393,20642.879712468195
H4,Teste,81,1T26,Ridge + Brent e Câmbio,100.0,393,20642.879712468195
H4,Teste,82,2T26,Ridge Contábil,0.1,397,20795.15044584383
H4,Teste,82,2T26,Ridge + Brent e Câmbio,100.0,397,20795.15044584383
