Horizonte,Modelo,Parametros,Params_JSON,Seed,N,WMAPE,MAE,RMSE,R2,Bias,Bias_Pct,SSE,SST_POOLED
H1,Gradient Boosting,n_estimators=80;learning_rate=0.03;max_depth=3;min_leaf=4,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_leaf"": 4, ""n_estimators"": 80}",10101,48,0.1299453557948874,2343.269407515343,3616.187897997492,0.9643854751827273,-448.41658692773825,-0.024866817595011196,627687115.853929,17624469765.479168
H2,Ridge Contábil,alpha=0.1,"{""alpha"": 0.1}",,48,0.1646973596239187,2969.9428805632283,4936.483363658832,0.9336317245540204,-2199.9899816773327,-0.12199983493036616,1169705663.9846601,17624469765.479168
H2,Ridge Contábil,alpha=1,"{""alpha"": 1.0}",,48,0.16526562641507134,2980.1902817024943,4956.334030227226,0.9330968890065222,-2185.000848776401,-0.12116861671805926,1179131856.9210463,17624469765.479168
H2,Ridge Contábil,alpha=10,"{""alpha"": 10.0}",,48,0.16898478591860916,3047.2568777574256,5034.966880658278,0.9309571971424042,-2043.8857390853952,-0.11334311740584997,1216842791.4876356,17624469765.479168
H2,Ridge Contábil,alpha=100,"{""alpha"": 100.0}",,48,0.17786793321513422,3207.44426710327,5302.815527368591,0.9234159700240053,-1741.6211984922213,-0.0965811210491417,1349752920.8304687,17624469765.479168
H2,Ridge Contábil,alpha=1000,"{""alpha"": 1000.0}",,48,0.37603599531220566,6780.955260382941,9414.171174502007,0.7586266274138933,-1696.0131910546386,-0.09405194163231283,4254077707.335576,17624469765.479168
H2,Ridge + Brent e Câmbio,alpha=0.1,"{""alpha"": 0.1}",,48,0.23023264772897267,4151.722981821137,5958.011820688431,0.9033219463770971,-3608.8762693791364,-0.2001292336852766,1703899433.0622272,17624469765.479168
H2,Ridge + Brent e Câmbio,alpha=1,"{""alpha"": 1.0}",,48,0.19181561178587936,3458.9589772732375,5277.497750772592,0.9241455102910257,-2773.6898955150987,-0.15381420470963644,1336895160.4516685,17624469765.479168
H2,Ridge + Brent e Câmbio,alpha=10,"{""alpha"": 10.0}",,48,0.1829400579822904,3298.9085193289393,5261.000880675242,0.9246189944736626,-2685.610323756483,-0.14892977646006067,1328550252.7903523,17624469765.479168
H2,Ridge + Brent e Câmbio,alpha=100,"{""alpha"": 100.0}",,48,0.19231154208510845,3467.9019540447794,5616.268895851476,0.9140945013920391,-2787.5314148382927,-0.15458178232893435,1514038862.9044204,17624469765.479168
H2,Ridge + Brent e Câmbio,alpha=1000,"{""alpha"": 1000.0}",,48,0.3733032568847264,6731.676528436864,9532.734229690126,0.7525085798920834,-2478.225773602991,-0.13742932368684205,4361905050.907479,17624469765.479168
H2,Random Forest ampliada,trees=35;depth=5;leaf=4,"{""max_depth"": 5, ""min_leaf"": 4, ""n_trees"": 35}",10200,48,0.13250614549467882,2389.447434624472,4968.374364261636,0.9327714411104445,-1272.3863504766534,-0.07055983255316936,1184867703.5257063,17624469765.479168
H2,Random Forest ampliada,trees=100;depth=5;leaf=4,"{""max_depth"": 5, ""min_leaf"": 4, ""n_trees"": 100}",10200,48,0.13065869622756046,2356.1328823413696,4934.791257712395,0.9336772156042469,-1037.0896315149114,-0.057511518191709,1168903908.3453445,17624469765.479168
H2,Random Forest ampliada,trees=300;depth=5;leaf=4,"{""max_depth"": 5, ""min_leaf"": 4, ""n_trees"": 300}",10200,48,0.1324302721007849,2388.079230261427,4937.337930025051,0.9336087442253408,-958.7784213685773,-0.05316879172903402,1170110680.0926747,17624469765.479168
H2,Random Forest ampliada,trees=500;depth=5;leaf=4,"{""max_depth"": 5, ""min_leaf"": 4, ""n_trees"": 500}",10200,48,0.13117557061901147,2365.4535382555914,4973.918635182859,0.9326213150186171,-962.3282567032775,-0.053365646864043874,1187513596.2921271,17624469765.479168
H2,Random Forest ampliada,trees=35;depth=7;leaf=3,"{""max_depth"": 7, ""min_leaf"": 3, ""n_trees"": 35}",10201,48,0.1377852465531923,2484.6440342561086,5228.418376936584,0.9255498045486783,-987.3310176488714,-0.05475216804530862,1312145218.765833,17624469765.479168
H2,Random Forest ampliada,trees=100;depth=7;leaf=3,"{""max_depth"": 7, ""min_leaf"": 3, ""n_trees"": 100}",10201,48,0.1329495432799395,2397.4431067991773,5245.984052529413,0.9250487104469809,-1058.092486896381,-0.05867622571808238,1320976736.61086,17624469765.479168
H2,Random Forest ampliada,trees=300;depth=7;leaf=3,"{""max_depth"": 7, ""min_leaf"": 3, ""n_trees"": 300}",10201,48,0.12964848098850168,2337.915944535383,5227.749322944149,0.9255688573519818,-1053.1160438918907,-0.0584002584499836,1311809423.2100644,17624469765.479168
H2,Random Forest ampliada,trees=500;depth=7;leaf=3,"{""max_depth"": 7, ""min_leaf"": 3, ""n_trees"": 500}",10201,48,0.12696824782789284,2289.584025846605,5072.552515614828,0.929922551454268,-963.7299489854762,-0.05344337732121669,1235077873.1361754,17624469765.479168
H2,Gradient Boosting,n_estimators=60;learning_rate=0.05;max_depth=2;min_leaf=5,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_leaf"": 5, ""n_estimators"": 60}",10200,48,0.17420534670410154,3141.397836500331,6084.251709156496,0.8991816645299439,-1768.2508147496208,-0.09805785904100506,1776869705.2979398,17624469765.479168
H2,Gradient Boosting,n_estimators=80;learning_rate=0.03;max_depth=3;min_leaf=4,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_leaf"": 4, ""n_estimators"": 80}",10201,48,0.17335162563442555,3126.0029156669866,6074.576748159084,0.8995020450717631,-1607.5035938989588,-0.08914366644348069,1771223168.1251993,17624469765.479168
H3,Ridge Contábil,alpha=0.1,"{""alpha"": 0.1}",,48,0.1726152968006016,3112.7248972290313,5456.430025116202,0.9189146571370542,-2274.9459088870058,-0.12615649510736412,1429086173.7115006,17624469765.479168
H3,Ridge Contábil,alpha=1,"{""alpha"": 1.0}",,48,0.17409513254814102,3139.4103744755616,5465.614645346942,0.9186414510763182,-2247.4937743339033,-0.12463414459128987,1433901285.6686869,17624469765.479168
H3,Ridge Contábil,alpha=10,"{""alpha"": 10.0}",,48,0.1802352713115757,3250.1338338423316,5509.715379491696,0.9173232289870971,-2001.1163043622664,-0.11097135025247933,1457134251.0243516,17624469765.479168
H3,Ridge Contábil,alpha=100,"{""alpha"": 100.0}",,48,0.18850122848728398,3399.1916008951434,5707.716717656542,0.9112741848690589,-1676.5588682060218,-0.09297310754853044,1563745446.1927662,17624469765.479168
H3,Ridge Contábil,alpha=1000,"{""alpha"": 1000.0}",,48,0.3801427111649805,6855.010555120486,9631.100677281162,0.747374595007376,-1570.7325158725146,-0.08710453649888998,4452388812.2844305,17624469765.479168
H3,Ridge + Brent e Câmbio,alpha=0.1,"{""alpha"": 0.1}",,48,0.32552087787288053,5870.029828777231,8298.761059795206,0.812435044565232,-5870.029828777231,-0.32552087787288053,3305732886.123516,17624469765.479168
H3,Ridge + Brent e Câmbio,alpha=1,"{""alpha"": 1.0}",,48,0.2486054551717155,4483.034842467437,6841.93409921118,0.872507995056812,-4373.063317402223,-0.24250701471665148,2246978986.4615374,17624469765.479168
H3,Ridge + Brent e Câmbio,alpha=10,"{""alpha"": 10.0}",,48,0.2253847055196811,4064.301352945331,6515.920405706907,0.8843683511432459,-3914.372627243054,-0.21707044957336438,2037946499.2083678,17624469765.479168
H3,Ridge + Brent e Câmbio,alpha=100,"{""alpha"": 100.0}",,48,0.22746739012506684,4101.857840373838,6729.993997725615,0.8766456324087213,-3956.5735747644594,-0.21941069142646188,2174055322.0522947,17624469765.479168
H3,Ridge + Brent e Câmbio,alpha=1000,"{""alpha"": 1000.0}",,48,0.37862915546169723,6827.717015044515,9888.062816488395,0.7337144434377381,-2873.5566544597427,-0.1593522881589929,4693141740.615379,17624469765.479168
H3,Random Forest ampliada,trees=35;depth=5;leaf=4,"{""max_depth"": 5, ""min_leaf"": 4, ""n_trees"": 35}",10300,48,0.14023981319442427,2528.9065697189794,5222.448998965744,0.925719709717989,-921.7143728117741,-0.051113415184849256,1309150730.2463186,17624469765.479168
H3,Random Forest ampliada,trees=100;depth=5;leaf=4,"{""max_depth"": 5, ""min_leaf"": 4, ""n_trees"": 100}",10300,48,0.13404107455984826,2417.1263947467173,5365.216005489632,0.9216029717720466,-1081.2709866042915,-0.05996158299781992,1381706053.706982,17624469765.479168
H3,Random Forest ampliada,trees=300;depth=5;leaf=4,"{""max_depth"": 5, ""min_leaf"": 4, ""n_trees"": 300}",10300,48,0.1311154477664318,2364.369359138295,5228.740196473385,0.9255406391517779,-926.5673051119834,-0.05138253320106057,1312306754.026394,17624469765.479168
