Etapa,Horizonte,Target_QID,Modelo,Config_Index,Seed
Validação,H3,67,Gradient Boosting,,23672
Validação,H3,68,Random Forest ampliada,,23681
Validação,H3,68,Gradient Boosting,,23682
Teste,H3,69,Random Forest ampliada,,23691
Teste,H3,69,Gradient Boosting,,23692
Teste,H3,70,Random Forest ampliada,,23701
Teste,H3,70,Gradient Boosting,,23702
Teste,H3,71,Random Forest ampliada,,23711
Teste,H3,71,Gradient Boosting,,23712
Teste,H3,72,Random Forest ampliada,,23721
Teste,H3,72,Gradient Boosting,,23722
Teste,H3,73,Random Forest ampliada,,23731
Teste,H3,73,Gradient Boosting,,23732
Teste,H3,74,Random Forest ampliada,,23741
Teste,H3,74,Gradient Boosting,,23742
Teste,H3,75,Random Forest ampliada,,23751
Teste,H3,75,Gradient Boosting,,23752
Teste,H3,76,Random Forest ampliada,,23761
Teste,H3,76,Gradient Boosting,,23762
Teste,H3,77,Random Forest ampliada,,23771
Teste,H3,77,Gradient Boosting,,23772
Teste,H3,78,Random Forest ampliada,,23781
Teste,H3,78,Gradient Boosting,,23782
Teste,H3,79,Random Forest ampliada,,23791
Teste,H3,79,Gradient Boosting,,23792
Teste,H3,80,Random Forest ampliada,,23801
Teste,H3,80,Gradient Boosting,,23802
Teste,H3,81,Random Forest ampliada,,23811
Teste,H3,81,Gradient Boosting,,23812
Teste,H3,82,Random Forest ampliada,,23821
Teste,H3,82,Gradient Boosting,,23822
Validação,H4,53,Random Forest ampliada,,24531
Validação,H4,53,Gradient Boosting,,24532
Validação,H4,54,Random Forest ampliada,,24541
Validação,H4,54,Gradient Boosting,,24542
Validação,H4,55,Random Forest ampliada,,24551
Validação,H4,55,Gradient Boosting,,24552
Validação,H4,56,Random Forest ampliada,,24561
Validação,H4,56,Gradient Boosting,,24562
Validação,H4,57,Random Forest ampliada,,24571
Validação,H4,57,Gradient Boosting,,24572
Validação,H4,58,Random Forest ampliada,,24581
Validação,H4,58,Gradient Boosting,,24582
Validação,H4,59,Random Forest ampliada,,24591
Validação,H4,59,Gradient Boosting,,24592
Validação,H4,60,Random Forest ampliada,,24601
Validação,H4,60,Gradient Boosting,,24602
Validação,H4,61,Random Forest ampliada,,24611
Validação,H4,61,Gradient Boosting,,24612
Validação,H4,62,Random Forest ampliada,,24621
Validação,H4,62,Gradient Boosting,,24622
Validação,H4,63,Random Forest ampliada,,24631
Validação,H4,63,Gradient Boosting,,24632
Validação,H4,64,Random Forest ampliada,,24641
Validação,H4,64,Gradient Boosting,,24642
Validação,H4,65,Random Forest ampliada,,24651
Validação,H4,65,Gradient Boosting,,24652
Validação,H4,66,Random Forest ampliada,,24661
Validação,H4,66,Gradient Boosting,,24662
Validação,H4,67,Random Forest ampliada,,24671
Validação,H4,67,Gradient Boosting,,24672
Validação,H4,68,Random Forest ampliada,,24681
Validação,H4,68,Gradient Boosting,,24682
Teste,H4,69,Random Forest ampliada,,24691
Teste,H4,69,Gradient Boosting,,24692
Teste,H4,70,Random Forest ampliada,,24701
Teste,H4,70,Gradient Boosting,,24702
Teste,H4,71,Random Forest ampliada,,24711
Teste,H4,71,Gradient Boosting,,24712
Teste,H4,72,Random Forest ampliada,,24721
Teste,H4,72,Gradient Boosting,,24722
Teste,H4,73,Random Forest ampliada,,24731
Teste,H4,73,Gradient Boosting,,24732
Teste,H4,74,Random Forest ampliada,,24741
Teste,H4,74,Gradient Boosting,,24742
Teste,H4,75,Random Forest ampliada,,24751
Teste,H4,75,Gradient Boosting,,24752
Teste,H4,76,Random Forest ampliada,,24761
Teste,H4,76,Gradient Boosting,,24762
