Horizonte,Modelo,Feature,N_Janelas,Beta_Medio,Beta_DP,Beta_Min,Beta_Max,Abs_Beta_Medio,Consistencia_Sinal,Mudancas_Sinal,Importancia_Media,Top5_Frequencia,Rank_Medio
H1,Ridge + Brent e Câmbio,Segmento=E&P,30,276.38179281137394,366.61696804990254,-454.9960974122184,1020.7226655135603,370.80530150161957,0.8333333333333334,2,0.011527157607543867,0.0,19.533333333333335
H1,Ridge + Brent e Câmbio,Segmento=GÁS & ENERGIA / G&EBC,30,147.48915836890853,102.94022804773569,33.025931593177724,324.2428629538277,147.48915836890853,1.0,0,0.0046897665732476635,0.0,25.4
H1,Ridge + Brent e Câmbio,Segmento=INTERNACIONAL,30,162.9003653620173,33.919827444316546,89.58618104542802,240.94886762952365,162.9003653620173,1.0,0,0.004935419146454548,0.0,24.9
H1,Ridge + Brent e Câmbio,Segmento=REFINO / RTC,30,2325.8124789161416,356.955447110813,1140.3918309608785,2824.466200849731,2325.8124789161416,1.0,0,0.06971944385929515,0.9666666666666667,3.7333333333333334
H1,Ridge + Brent e Câmbio,Trimestre_Cos,30,-505.1906717467176,48.02633917529197,-586.9942522370795,-410.8769326416952,505.1906717467176,1.0,0,0.015041066415031484,0.0,15.933333333333334
H1,Ridge + Brent e Câmbio,Trimestre_Sin,30,-193.0697931816787,83.01512186491817,-298.484745970484,-41.953049035500065,193.0697931816787,1.0,0,0.005592935684046085,0.0,23.666666666666668
H1,Ridge + Brent e Câmbio,USD_BRL_Var_AA,30,572.7424357509409,166.9990027974301,277.7364167134658,780.5700353984247,572.7424357509409,1.0,0,0.016758422503954384,0.0,15.4
H1,Ridge + Brent e Câmbio,USD_BRL_t,30,456.96739865240124,237.99041857244265,-334.07168180941136,746.8847185970792,479.238844106362,0.9666666666666667,2,0.013967906811675477,0.0,16.9
H1,Ridge + Brent e Câmbio,USD_BRL_t_1,30,-300.9205571866235,284.51457427876835,-784.8943909541225,19.292135370188536,303.29206028676043,0.9,1,0.009703045615336837,0.0,21.3
H1,Ridge + Brent e Câmbio,USD_BRL_t_4,30,156.05857142371667,200.42461303491348,-154.86254295255245,478.7757358130805,201.44253830378642,0.7,5,0.006349307874492768,0.0,23.966666666666665
H2,Ridge Contábil,Custo_t,30,16116.192366718535,4135.4499157246155,10533.595858918792,22183.115264192653,16116.192366718535,1.0,0,0.3780043567241497,1.0,1.0
H2,Ridge Contábil,Custo_t_1,30,3757.0561771859084,1915.3833809280181,582.4079423650962,6630.604646925223,3757.0561771859084,1.0,0,0.08290479157704599,0.8333333333333334,4.4
H2,Ridge Contábil,Custo_t_4,30,-1148.112142789653,1810.273802410891,-3546.250921542787,1393.2354112791988,1876.736961591547,0.5666666666666667,1,0.041719107152960476,0.1,7.7
H2,Ridge Contábil,Despesas_t,30,-131.04625438966164,330.62064420313544,-877.9937088742429,289.4273721285119,284.4029246305126,0.5666666666666667,1,0.007911650299098572,0.0,15.733333333333333
H2,Ridge Contábil,Despesas_t_1,30,177.6535921253134,216.47793732409784,-172.48924914859236,536.7414976760916,237.14535589919487,0.7333333333333333,3,0.005186091734038398,0.0,15.933333333333334
H2,Ridge Contábil,Despesas_t_4,30,-111.7163758742735,111.76975273608038,-508.66418008919936,8.150318274483528,112.25973042590573,0.9666666666666667,2,0.0026801820923624572,0.0,18.6
H2,Ridge Contábil,EBIT_t,30,1132.2487351068123,743.4821615322815,-114.95705959723166,2027.2008125785053,1144.946021060104,0.9333333333333333,1,0.02431700762432043,0.0,10.7
H2,Ridge Contábil,EBIT_t_1,30,-244.303313704915,265.5419683618675,-765.8613235106985,533.2349146132462,282.1534751467931,0.8333333333333334,5,0.007760657349139045,0.0,16.166666666666668
H2,Ridge Contábil,EBIT_t_4,30,435.17416133717353,267.9922503137271,-114.79830647467664,816.899111151924,442.82738176881867,0.9666666666666667,2,0.012158405660142025,0.0,12.966666666666667
H2,Ridge Contábil,Receita_t,30,2214.9029003180667,2709.320711565153,-2537.9363392973596,7487.048564846923,2791.8196623647364,0.7666666666666667,2,0.0629757850536923,0.5,7.266666666666667
H2,Ridge Contábil,Receita_t_1,30,-5347.498464597197,3133.2308712093404,-9983.148477439541,-1525.5506011055877,5347.498464597197,1.0,0,0.11507543441837807,0.9333333333333333,3.033333333333333
H2,Ridge Contábil,Receita_t_4,30,2178.376230087801,923.9114022221463,540.3908054722758,3935.7516212715063,2178.376230087801,1.0,0,0.05193037862608249,0.36666666666666664,6.066666666666666
H2,Ridge Contábil,Segmento=CORPORATIVO / OUTROS NEGÓCIOS,30,199.2159109293129,93.21314574035691,16.09400512881561,361.4518237161753,199.2159109293129,1.0,0,0.005440754656713039,0.0,17.1
H2,Ridge Contábil,Segmento=DISTRIBUIÇÃO,30,1008.3959317060265,465.85613357160054,42.529988536762765,1738.1622907267647,1008.3959317060265,1.0,0,0.026558616964257684,0.13333333333333333,9.133333333333333
H2,Ridge Contábil,Segmento=E&P,30,856.8329473941618,809.5836299386373,-1076.991691072413,2043.0764899835417,1036.8273150433276,0.8666666666666667,2,0.027811701818258268,0.23333333333333334,9.333333333333334
H2,Ridge Contábil,Segmento=GÁS & ENERGIA / G&EBC,30,388.6372317675241,148.28722700036792,72.78427558041024,603.0808094174079,388.6372317675241,1.0,0,0.010170008656605532,0.0,13.633333333333333
H2,Ridge Contábil,Segmento=INTERNACIONAL,30,291.46817706784066,134.74609729737958,20.381671814259548,497.89192401952,291.46817706784066,1.0,0,0.007673333009545479,0.0,15.766666666666667
H2,Ridge Contábil,Segmento=REFINO / RTC,30,3871.066924188196,892.8772506594656,1491.3078459404485,5181.335600304464,3871.066924188196,1.0,0,0.09701277402216991,0.9,3.6333333333333333
H2,Ridge Contábil,Trimestre_Cos,30,-569.7563132097906,160.56893133093146,-765.2077091799628,-288.867174257482,569.7563132097906,1.0,0,0.013416356469149387,0.0,12.166666666666666
H2,Ridge Contábil,Trimestre_Sin,30,795.9042106879346,119.62571092961119,551.3139228654865,937.5807127343286,795.9042106879346,1.0,0,0.01929260609189074,0.0,9.666666666666666
H2,Ridge + Brent e Câmbio,Brent_BRL_t,30,-189.48328902944544,1058.9662399752372,-1410.2520648790662,1576.2099643307572,977.2822207175454,0.5333333333333333,1,0.02584091929160044,0.0,13.6
H2,Ridge + Brent e Câmbio,Brent_Var_AA,30,1508.8843807854485,1078.3733601598035,18.968471228601434,2710.93765755333,1508.8843807854485,1.0,0,0.0372702991929813,0.5,12.4
H2,Ridge + Brent e Câmbio,Brent_t,30,952.9213658338339,283.25196187907153,180.80440762775746,1405.5312214209396,952.9213658338339,1.0,0,0.02547040720138772,0.0,12.866666666666667
H2,Ridge + Brent e Câmbio,Brent_t_1,30,-1670.2240296037078,232.32564141733002,-1936.1857598324696,-1178.2422240807505,1670.2240296037078,1.0,0,0.04481213445673813,0.0,6.833333333333333
H2,Ridge + Brent e Câmbio,Brent_t_4,30,930.1841097995457,841.7909932802888,-415.55732073337424,1847.695439000664,1037.997007234334,0.7,1,0.025994062036918227,0.0,14.3
H2,Ridge + Brent e Câmbio,Custo_t,30,7199.341183168479,2263.3593577663423,4230.473987241646,9687.723117261929,7199.341183168479,1.0,0,0.1883136658954146,1.0,1.0
H2,Ridge + Brent e Câmbio,Custo_t_1,30,3472.738156353071,916.0459347138546,2299.4249521773036,4886.124837281468,3472.738156353071,1.0,0,0.0915731278667335,1.0,3.433333333333333
H2,Ridge + Brent e Câmbio,Custo_t_4,30,941.7144862819592,792.3090942985988,-450.0728605164516,2282.5106460945944,1055.2095311058295,0.8,2,0.030572423999188397,0.03333333333333333,13.1
H2,Ridge + Brent e Câmbio,Despesas_t,30,-911.537089503074,240.55204211942916,-1563.4920783922153,-601.6221020167492,911.537089503074,1.0,0,0.025481121377065687,0.0,13.233333333333333
H2,Ridge + Brent e Câmbio,Despesas_t_1,30,-471.92268416206934,117.69455183165407,-770.1383758026806,-180.9480325989002,471.92268416206934,1.0,0,0.012815676545061827,0.0,19.033333333333335
H2,Ridge + Brent e Câmbio,Despesas_t_4,30,-133.28095293702867,102.31951145886057,-403.17483127339983,26.05274858817082,135.01780284290672,0.9666666666666667,2,0.0035537240641729585,0.0,25.866666666666667
H2,Ridge + Brent e Câmbio,EBIT_t,30,-515.8300240781051,479.30769241373804,-1510.1509753509915,67.69252045220259,527.1031383546024,0.9,4,0.015542645622097706,0.0,20.233333333333334
H2,Ridge + Brent e Câmbio,EBIT_t_1,30,-1070.0956456564384,273.35518565565053,-1414.306970512163,-525.3821938004031,1070.0956456564384,1.0,0,0.028369395609914413,0.0,11.9
H2,Ridge + Brent e Câmbio,EBIT_t_4,30,259.7774905413199,364.96884796382227,-273.0743197874097,786.1861959804419,339.0596394291089,0.6,3,0.010205392901554627,0.0,22.733333333333334
H2,Ridge + Brent e Câmbio,Receita_t,30,4252.393038720862,1420.9878204062861,2004.1525097257802,6169.3846332615385,4252.393038720862,1.0,0,0.11110696659924774,0.9666666666666667,2.7
H2,Ridge + Brent e Câmbio,Receita_t_1,30,1426.2728492434237,387.0197188410408,591.8632078040611,2156.4127644096184,1426.2728492434237,1.0,0,0.039078513236259806,0.13333333333333333,8.6
H2,Ridge + Brent e Câmbio,Receita_t_4,30,1073.5315160875305,773.4275059296269,-413.95902907674235,2345.9013057641346,1122.3742697707744,0.9333333333333333,2,0.03288111638503758,0.36666666666666664,12.466666666666667
H2,Ridge + Brent e Câmbio,Segmento=CORPORATIVO / OUTROS NEGÓCIOS,30,-97.38991790747183,118.85576563106733,-291.4110503760073,90.10075858932073,123.8864945166358,0.7,7,0.0030747325239496403,0.0,26.833333333333332
H2,Ridge + Brent e Câmbio,Segmento=DISTRIBUIÇÃO,30,896.2655107642482,235.36023152537425,337.5259203498462,1210.1260927277447,896.2655107642482,1.0,0,0.025003446609009442,0.0,13.333333333333334
H2,Ridge + Brent e Câmbio,Segmento=E&P,30,609.4358219122392,390.06012326384734,-447.0792051803888,1094.5045556689813,667.6417225069151,0.8666666666666667,2,0.01867230089194638,0.0,16.5
H2,Ridge + Brent e Câmbio,Segmento=GÁS & ENERGIA / G&EBC,30,156.78178845243391,107.37580696914898,17.100594483419627,313.05051875895794,156.78178845243391,1.0,0,0.0046766877360088725,0.0,25.366666666666667
H2,Ridge + Brent e Câmbio,Segmento=INTERNACIONAL,30,240.15243816403682,55.27194445534868,112.54698699298838,327.53677894110626,240.15243816403682,1.0,0,0.006452440835953116,0.0,23.733333333333334
H2,Ridge + Brent e Câmbio,Segmento=REFINO / RTC,30,3855.0398554113276,515.0917324513433,2360.995721579966,4802.620728204185,3855.0398554113276,1.0,0,0.10490898009320032,1.0,2.933333333333333
H2,Ridge + Brent e Câmbio,Trimestre_Cos,30,-354.88327982554443,94.40187445881037,-537.4828026021561,-172.79775432575715,354.88327982554443,1.0,0,0.009606568551686087,0.0,21.566666666666666
H2,Ridge + Brent e Câmbio,Trimestre_Sin,30,534.8832731449006,66.11268387422804,422.03380392482603,698.3362194738249,534.8832731449006,1.0,0,0.014693009083097447,0.0,18.266666666666666
