Horizonte,Bloco,Modelo,N,WMAPE,MAE,RMSE,R2,Bias,Bias_Pct,SSE,SST_POOLED,R2_Within_Segment,SST_Within,Between_Share_SST
H4,Validação,Baseline Último,70,0.27697739555801015,8024.114285714286,14846.018911286814,0.817891310126796,-4451.428571428572,-0.15365497652767368,15428299426.0,84720281260.28574,0.044065835530916475,16139499977.5625,0.8094966194933042
H4,Validação,Gradient Boosting,70,0.30955183809624526,8967.805193030537,16989.063579046848,0.7615213336175062,-6134.9809002076845,-0.21176804953574987,20203979690.502728,84720281260.28574,-0.25183430209057023,16139499977.5625,0.8094966194933042
H4,Validação,Random Forest ampliada,70,0.3071540756214994,8898.341329062157,17488.88043738659,0.7472828771549334,-5507.708688467697,-0.19011578770007637,21410265726.72423,84720281260.28574,-0.32657552938376466,16139499977.5625,0.8094966194933042
H4,Validação,Random Forest grade original,70,0.30982598384583737,8975.747273723578,17716.4531137463,0.7406631630777017,-5527.298244010213,-0.19079198246514403,21971089765.209965,84720281260.28574,-0.36132406801664696,16139499977.5625,0.8094966194933042
H4,Validação,Ridge + Brent e Câmbio,70,0.2911168843995022,8433.739317306265,15546.072057866315,0.8003119831718915,-4454.680035007163,-0.15376721096024568,16917624949.986027,84720281260.28574,-0.04821245847178002,16139499977.5625,0.8094966194933042
H4,Validação,Ridge Contábil,70,0.30084922910314643,8715.688124040753,16063.006758398054,0.7868112244229464,-5158.8286499464475,-0.1780731022408435,18061413028.423912,84720281260.28574,-0.11908132553878992,16139499977.5625,0.8094966194933042
H4,Teste,Baseline Sazonal,56,0.14061090262125414,5357.267857142857,9714.34494611669,0.9493297220173765,1393.3392857142858,0.036570636347913875,5284635873.0,104294590110.8393,-2.042108739921322,1737162055.9285717,0.9833436992840914
H4,Teste,Baseline Último,56,0.14061090262125414,5357.267857142857,9714.34494611669,0.9493297220173765,1393.3392857142858,0.036570636347913875,5284635873.0,104294590110.8393,-2.042108739921322,1737162055.9285717,0.9833436992840914
H4,Teste,Gradient Boosting,56,0.14228661939912227,5421.112576609091,7558.513221188415,0.9693239808984035,1052.8203045836258,0.027633117714677632,3199342838.4332833,104294590110.8393,-0.8417066084966534,1737162055.9285717,0.9833436992840914
H4,Teste,Random Forest ampliada,56,0.14131176379125546,5383.970630173773,8282.977665831315,0.9631617300511383,674.5336769952763,0.017704320877717523,3842032264.7089806,104294590110.8393,-1.2116717617662243,1737162055.9285717,0.9833436992840914
H4,Teste,Random Forest grade original,56,0.1524954614031364,5810.068910059779,8949.457126570505,0.9569949329547058,168.78951946046215,0.00443017734360607,4485195840.178122,104294590110.8393,-1.5819098597457177,1737162055.9285717,0.9833436992840914
H4,Teste,Ridge + Brent e Câmbio,56,0.1737936084544728,6621.527171743533,9860.982482935793,0.9477884459412148,3376.800609569214,0.08863006187948144,5445382629.610927,104294590110.8393,-2.1346428567369244,1737162055.9285717,0.9833436992840914
H4,Teste,Ridge Contábil,56,0.1670367387200117,6364.090796835729,11587.92195382419,0.9278996507522393,1522.496781844032,0.03996060164279655,7519676371.643556,104294590110.8393,-3.3287132285560057,1737162055.9285717,0.9833436992840914
